marca_monitorada,marca_colidente,classe_marca_monitorada,classe_marca_colidente,score,y,pred
A2R ENERGIA SOLAR,A2R2,35,40,0.99338394,0,1
SUPERMERCASA,SUPERMERCADO PAIVA,35,5,0.9929103,0,1
GESTAÇÃO,Gestar +,9,42,0.9914438,0,1
BEONFASHION ON-LINE STYLE,Jan Fashion,25,25,0.9910759,0,1
FA FASHION ATACADISTA O VAREJO NO PRECINHO DE ATACADO,DIVA FASHION,25,25,0.99080807,0,1
SISAL JEANS,SIX,25,40,0.98990226,0,1
VEST GOSPEL,VEXTER,25,25,0.9884517,0,1
UNIFOR-MG CENTRO UNIVERSITÁRIO DE FORMIGA,UNISAT UNIFORMES,25,25,0.98794657,0,1
DOM PASTEL,PASTÉ,42,43,0.987515,0,1
OdontoCape centro odontológico,ODONTOUR,41,44,0.98686254,0,1
LULUI BIKINIS,LUBE,25,40,0.98677826,0,1
MD SISTEMAS,SISTEMAG,42,42,0.9865898,0,1
FARDIN,Farin,30,30,0.98234475,0,1
BELLA DAMA COSMÉTICOS,D'Bella,35,3,0.98039824,0,1
UMTELECOM,HG TELECOM,38,38,0.9788729,0,1
COLMEIA,KOLMEIA,42,42,0.97714657,0,1
PASTEL DA TERRA,PASTELÊ,43,30,0.97654486,0,1
Virtua Vet Coworking Veterinário,VETTES,44,35,0.9764948,0,1
ATELIÊ BOLDO,ATELIÊ DA GI,25,25,0.9759542,0,1
G GRA VIAGENS,grão.,39,39,0.9757145,0,1
MARCENARIA MLM LUCAS MÓVEIS,MARCENAR,20,20,0.97539717,0,1
Scanauto,Scana,37,42,0.974294,0,1
MARLEX SELAS E ACESSÓRIOS,MARLELI,35,25,0.97424215,0,1
FAMÍLIA CHURRASQUINHO,HAMAGLIA,35,25,0.9740448,0,1
Hconnect,ZOECONNECT,42,42,0.97350174,0,1
CB CASA BETEL,CASAE,35,20,0.9731646,0,1
Multihype,Multifeme,28,41,0.9723671,0,1
GREEN GUPPY,GREEN MONEY,25,35,0.97161037,0,1
UMTELECOM,A9 Telecom,38,38,0.970595,0,1
MISS NINA,Nini,25,35,0.97027266,0,1
DURAFORT,ARAFORT,11,9,0.96996033,0,1
RELEVANTE,R RELEVANTE NEWS,41,41,0.9696796,0,1
LINAUS CLINIC,LINAR,44,9,0.96955264,0,1
CONTÁBIL TURMALINA,CONTABILEIS,35,35,0.9688389,0,1
UMTELECOM,F6 TELECOM,38,38,0.96691585,0,1
EU TE PEGO,ICE EU TE PEGO!,35,33,0.96562,0,1
SANAUTO,SOSAN AUTO,12,7,0.9648494,0,1
R W,RW,35,35,0.9645913,0,1
MÉTODO 3T,MÉTODO DES,41,41,0.9628289,0,1
LY BEACHWEAR,LIVELI,25,25,0.9620004,0,1
A ALTERNATIVA,ALTIVA,35,25,0.96093404,0,1
ArteSanto Feira Nacional do Artesanato do Espírito Santo,ARTESANOU,35,35,0.96015936,0,1
LIFE SPACE,theSpace,42,42,0.9595607,0,1
SMART SCOOTERS,B=SMART,35,35,0.958035,0,1
AIZU ENGENHARIA E ARQUITETURA,AIZI.,42,35,0.95723146,0,1
FESTIVAL DE OLHO NO PORCO,DE OLHO NO ESPORTE,41,41,0.9570984,0,1
Virtua Vet Coworking Veterinário,TAVET,44,5,0.95687866,0,1
BOGHOS BOYADJIAN CADI CENTRO AVANÇADO DE DIAGNOSTICO POR IMAGEM,CADI CENTRO AVANÇADO DE DIAGNÓSTICO POR IMAGEM,44,10,0.9566804,0,1
XES BRASIL,SE7ES,25,25,0.95662606,0,1
SR. & SRA. FIT,SRX,35,5,0.956319,0,1
QUINTAL DO COCO,QUINTAL DO ZICO,39,43,0.9560896,0,1
IVIDROS,NM VIDROS,35,19,0.95527,0,1
MÓVEIS PAGANINI,Harmoni MÓVEIS,20,20,0.95516384,0,1
CHAMA EMPREENDEDORA,Moda Empreendedora,41,41,0.9517947,0,1
Temperos Magia,TEMPERO DO EDU,30,30,0.95134187,0,1
ALPHA CO.,ALPHA PRIME,25,40,0.94897085,0,1
ARENA BEACH,OWL BEACH ARENA,38,41,0.94886637,0,1
CASA D INTERIORES,Casa do Véu,35,25,0.94878227,0,1
AUTO PEÇAS MATOS,AUTOPECASLTZ2020,35,35,0.94850075,0,1
Festival de Inverno de Garanhuns FIG,Festival de Vinhos de Inverno,41,41,0.9463405,0,1
A MAR A VIDA,Vida,41,41,0.9455585,0,1
PASTEPIZZA LANCHES,PASTÉ,43,43,0.94539243,0,1
Elevant Consultoria,ELEVATE,35,44,0.9453096,0,1
DOCES DELLÉ,DOCES +,35,30,0.9450213,0,1
M MANIX,Manyoo,25,18,0.94368345,0,1
data pool.io,datapoli,42,35,0.9436618,0,1
ANA CLARA,Ana Clara,40,20,0.941417,0,1
SUPERMERCASA,SUPERMERCADO PAIVA,35,8,0.9411616,0,1
DEEP COLLECTION,Alvile collection,25,25,0.94101673,0,1
BOUTIQUE PET LUCKY JR,LT BOUTIQUE,35,40,0.94054645,0,1
AXÉ DA SORTE,axexo,36,36,0.9403994,0,1
Virtua Vet Coworking Veterinário,Uravet,44,10,0.93944913,0,1
ELETRO SOLAR,SIM Eletro,35,35,0.9394018,0,1
CLINICA D.O.C SAÚDE PERSONALIZADA,Clini,44,42,0.9390352,0,1
AMAZON PRODUTOS NATURAIS,amazoca,30,43,0.9381654,0,1
MOODZ COLLECTION,WE COLLECTION,25,25,0.93806285,0,1
CONFEITARIA AURORA ITABIRITO,AL confeitaria,43,35,0.9371514,0,1
Trivora Utilidades,Trivo,35,43,0.93712556,0,1
PARADISE CHANNELS,Channels,38,41,0.9369851,0,1
É DE CASA ENERGIA SOLAR,+CASA,42,37,0.9368575,0,1
SANTO AFETO TEEN & KIDS,Santo Axé,25,35,0.93632704,0,1
CONTGA,CONTGO,37,42,0.9359411,0,1
E.CONTROL,ABACONTROL,9,42,0.935512,0,1
MINISTÉRIO SEMELHANTE,MINISTÉRIO ÉFOZ,41,41,0.9349156,0,1
SUPER FRANGUINHO,SUPERMERCADO MORANGUINHO,35,30,0.93411994,0,1
D PRIMES AÇAIZINHO,PRIMEBOI,30,35,0.9339626,0,1
VirtuaMed O hub da saúde coworking médico,ORAMED,44,44,0.93365145,0,1
COFFEE BREAK COCO BAMBU,BAMBUÍ,43,43,0.93360823,0,1
P COFFEE,Coffeenet,43,30,0.9330314,0,1
MÉTODO 3T,Método RGP,41,41,0.9319374,0,1
Be You Beauty Clinic By Vanessa Rosalem,By Be You,44,35,0.931849,0,1
Vila Alimentos,VYLO,30,9,0.9300153,0,1
CENTRO DE TREINAMENTO THE MOVEMENT,ULTRA5 CENTRO DE TREINAMENTO,41,41,0.92990416,0,1
Prato Pet,PRATO ÚNICO,31,43,0.92978936,0,1
Atrium Parfum,Atrium,35,30,0.9294914,0,1
MÉTODO 3T,Método RNA,41,41,0.9294147,0,1
AMOR E SORRISOS IMPLANTES,Sorriso real,35,44,0.92910236,0,1
SUPER FRANGUINHO,SUPERMERCADO MORANGUINHO,35,39,0.9289137,0,1
SUPER LAGOA,SUPER LUZ,30,35,0.9272089,0,1
AUTHENTIC BIKE SHOP,AUTENTICE,35,35,0.9240934,0,1
BISCOITOS SARETTA,Biscoiterices,30,30,0.92271024,0,1
CV / INVEST DTVM,INVEXUS,36,36,0.9224925,0,1
GABRIEL SOUZA,Gabriel,41,41,0.92127055,0,1
ELETRO SOLAR,ELETROAMAPÁ,35,40,0.92089474,0,1
NORMATEL INCORPORAÇÕES,NORMANI,36,37,0.92044336,0,1
PROFIX,ProFio,35,44,0.919361,0,1
AVESTA,AVI,36,36,0.9191964,0,1
SABORES EM FRUTA,Saboreô,43,43,0.919185,0,1
Marketing Erótico,Get Marketing,41,41,0.9178325,0,1
TRU LOGÍSTICA,Trevo,43,30,0.91751516,0,1
ÁGUA MINERAL QUALITY LIFE,EQUALITY,32,35,0.9170283,0,1
CAFÉ BARREIRO,Café Vô Guerreiro,40,40,0.9169823,0,1
Empório Casa & Corpo,EMPÓRIO OF KING,35,3,0.91674256,0,1
LOVE PET A MARCA DE ACESSÓRIOS DO SEU PET...,Pet Lobs,7,35,0.9165182,0,1
POP RIO,PRIO,44,42,0.9164376,0,1
Prato Pet,PRATO CHEIO,31,35,0.9158666,0,1
NATTÚRIAS,NATURY,35,29,0.9158236,0,1
UNA GRANDE DESENVOLVIMENTO,GRANDO,36,35,0.91529405,0,1
BOUTIQUE PET LUCKY JR,BOUTIQUE DAYIL,35,25,0.91522706,0,1
AGÊNCIA ART,AGÊNCIACROSBY.,35,35,0.91436625,0,1
START COMUNICAÇÃO INTEGRADA,STARKE,35,35,0.91383475,0,1
TEXAS BURGER,TEXATERAS,43,30,0.9136282,0,1
DOE DE CORAÇÃO,CORAÇÃO DE MÃE,41,38,0.9133979,0,1
MÉTODO DENTISTA MILIONÁRIO,Protagonista Milionário,41,41,0.9122336,0,1
EMPÓRIO ESTILO,EMPÓRIO POMARKET,35,35,0.9119401,0,1
AKAI AÇAÍ DO BRASIL,AKAE,35,35,0.9118742,0,1
IVIDROS,NM VIDROS,21,35,0.9093612,0,1
HARDFERRAMENTAS,Pinho Ferramentas,35,8,0.90919447,0,1
CAMPOS DO JORDÃO,campos do jordão design festival,0,41,0.90886426,0,1
açaí Vitaly Pura energia,VITALE,35,33,0.90777653,0,1
DELÍCIAS DA XÚ LANCHONETE,Delícias da Tarde,43,43,0.90676624,0,1
Reduto,REDUTO,42,33,0.9065398,0,1
EMPÓRIO POUSO ALEGRE,Emporio WEB,35,21,0.906427,0,1
RANCHO DO ACARAJÉ,RANCHO BENNU,43,30,0.90620744,0,1
Janutri,Sua Nutri,42,9,0.9059658,0,1
ELETRO SOLAR,ELETRONLIMA,35,42,0.9053788,0,1
A MAR A VIDA,MARV,35,25,0.90499085,0,1
Chama,CHAMA!,35,34,0.904826,0,1
LULUI BIKINIS,LULU BROWNIE,25,30,0.9047545,0,1
HEAD MADE,Headii,42,9,0.9042382,0,1
PLANO DE CARREIRA,CARREIRA LIVE,41,41,0.9040855,0,1
DIARIO NO CAMPO,CODIGO DIARIO,41,41,0.90334696,0,1
MY BIRDS,flybirds,35,35,0.9030336,0,1
energia natural,A NATURAL,30,35,0.9027216,0,1
INFOPRODUTO 360º,Infoproduto Fura Fila,41,41,0.90202814,0,1
VITOMAR SUPERMERCADO,VYBE SUPERMERCADO,35,35,0.90202725,0,1
DOMUS,Domus Prime,35,35,0.9019945,0,1
JAPA,JAPA FAST,40,43,0.90175736,0,1
ÓTICA MIDO,ÓTICAS CLIN,35,35,0.90115106,0,1
DELÍCIAS DA MIRA DO DOCE AO SALGADO,DELÍCIAS DA LENNY,35,35,0.9007489,0,1
Virtua Office Coworking Ideas,VIRAW,35,35,0.90041816,0,1
BA COFFEE,COFFEX,43,35,0.90001905,0,1
OKA PLANEJADOS,OKARI,35,30,0.899399,0,1
predicta,predictus,36,42,0.8991032,0,1
PP TREINAMENTOS,Aí TREINAMENTOS,41,41,0.8984077,0,1
SUPERMERCASA,SUPER C,35,35,0.8971078,0,1
BARRA CONNECT PROVEDOR DE INTERNET,CONNECTWAY,38,35,0.89695334,0,1
GRUPO S,GRUPO LEH,35,35,0.8962351,0,1
MASTER ALUMÍNIO,MASTERIZA,35,35,0.89550394,0,1
DOE DE CORAÇÃO,CORAÇÃO DE PEDRA,41,41,0.895054,0,1
EMPREENDER NÃO É BAGUNÇA,Empreendo-Me,41,41,0.89401126,0,1
SMART ELETRÔNICOS,SMARTCOMP,35,35,0.89377296,0,1
RI ARQUITETURA,Arquitetura Cocriadora,42,42,0.893622,0,1
CI CALHAS IPATINGA,CALHAS DIAS,6,35,0.8928661,0,1
PORTAL DOS REIS RECEPÇÕES EVENTOS,Portal dos Sonhos,41,43,0.89283645,0,1
SEU DIREITO,Direito mais café,38,41,0.89240265,0,1
ELETRO SOLAR,NIELETRO,35,11,0.8921349,0,1
AGÊNCIA ART,AGÊNCIA K1,35,35,0.88948935,0,1
PÃO DE QUEIJO TINÔ,Pão de Queijo Dona Nice,30,35,0.88916665,0,1
NORMATEL INCORPORAÇÕES,NORMANI,37,37,0.8882878,0,1
BOIADEIRINHA,BOIADEIRA,41,38,0.8877661,0,1
MEDICALVIS,MEDICAL DENTE,35,44,0.88768077,0,1
OHIMÓVEIS,A3 Imóveis,36,36,0.8872425,0,1
Método Post Irresistível,MÉTODO HOKMÃ,41,41,0.88572085,0,1
ELEVA POR RENATA PAULA SANTIAGO,Elevus,35,35,0.8855203,0,1
EU ENGLISH UNIVERSE,English Growth,41,41,0.8845391,0,1
MUNDO EM MENU,MUNDO MAR,38,41,0.8843597,0,1
Reduto,reduto,42,35,0.8841958,0,1
SUPERMERCASA,SUMMER SUPERMERCADOS,35,35,0.8833046,0,1
Virtua Vet Coworking Veterinário,VIRAW,35,35,0.88282186,0,1
Six Pilates Studio,ZENA PILATES,41,41,0.88186353,0,1
SABOR DO VALE ALIMENTOS,SABOR DO VERÃO,29,43,0.8818279,0,1
SER SAÚDE,Saudee,41,35,0.88025665,0,1
FORTALEZA MAR HOTEL,PORTALE,43,43,0.87969226,0,1
REIS CELL,RLY REIS,35,35,0.879502,0,1
VIA VERDE,VY.A,44,35,0.8791071,0,1
HARDFERRAMENTAS,JOTAFER Ferramentas,35,7,0.8786273,0,1
MY,MY,35,35,0.8781547,0,1
Hama Decor,FAMA Casa & Decor,24,35,0.878074,0,1
LÁ NO PASTEL,IPASTEL,43,39,0.8773239,0,1
Agência - Assistência de Elite,AGÊNCIA PAPO,35,35,0.8767902,0,1
Academia Brasileira de Psicologia Baseada em Evidências,ACADEMIA BRASILEIRA DE CINEMA,35,41,0.876292,0,1
MERCADO DA MAKE,MERCADO DA CHAPA,35,35,0.8753762,0,1
REDE BRASIL DE NEGÓCIOS,BRASILIA,35,12,0.8740337,0,1
PRO PRODUÇÕES E PROPAGANDA,ZMX PRODUÇÕES,41,41,0.8738365,0,1
EMPÓRIO COCADAS OLIMPIO,EMPÓRIO GAMBITO,35,35,0.872936,0,1
ENGENHAR CONSULTORIA,Engenorte Engenharia,42,37,0.87282974,0,1
ACRIMAX CAST ACRYLIC,LUCRIMAX,17,35,0.87224686,0,1
SYM,SISMIX,36,36,0.8719083,0,1
INSTITUTO REVER SETE QUEDAS,INSTITUTO OPERA,41,41,0.87188256,0,1
REDE SUPER RURAL,SUPER C,35,35,0.8712338,0,1
Bella NOBRE DOCES,Bellanda,29,29,0.8711536,0,1
EMPÓRIO COCADAS OLIMPIO,EMPÓRIO ZOE,35,35,0.8705691,0,1
Bella NOBRE DOCES,BEL,35,35,0.86995524,0,1
GRUPO MS MAIS QUE SAÚDE,GRUPO JL,35,35,0.8692829,0,1
ELECTROSOL ENERGIA SOLAR,Electrly,35,37,0.86916625,0,1
VIXSYSTEM SOLUÇÕES EM TECNOLOGIA DA INFORMAÇÃO,VIXTE,42,35,0.8686512,0,1
VIRTUA COFFEE WORK,VIRAW,35,35,0.8678237,0,1
TOTUS DESIGN,TOKYO DESIGN,20,20,0.86744285,0,1
SORÓ,ZOROASTRO,33,35,0.866958,0,1
Clínica NV,CLINIC,41,44,0.86657435,0,1
COXIBURGUER,GIBI BURGUER,30,29,0.8665074,0,1
Marketing Erótico,RAP MARKETING,41,38,0.8663934,0,1
ALLWELL,ALLCELL,35,35,0.8663517,0,1
PROFIX,PETROFIX,35,21,0.86548233,0,1
BRASILGÁS,BRASILIA,35,12,0.86500174,0,1
HARDMÁQUINAS,NE MÁQUINAS,35,35,0.864573,0,1
Cantinho do Bolinha Pet Boutique,CANTINHO DO BONI,35,43,0.8643797,0,1
TERRAMAXX SOLUÇÕES EM IMPLEMENTOS FLORESTAIS,Terramor,35,35,0.8639078,0,1
Pousada Vila dos Santos,SANTOSHA,43,43,0.86362666,0,1
ALPHA CO.,ALPHA SPEED,25,35,0.8633081,0,1
MARKINHOS FESTAS & LANCHES,MARAVINHOS,41,35,0.8623772,0,1
Academia Brasileira de Psicologia Baseada em Evidências,ACADEMIA BRASILEIRA DE POKER,35,41,0.86224365,0,1
KONIK,KONICA,-1,9,0.8611822,0,1
CV / INVEST DTVM,Investcare,36,36,0.86044806,0,1
EMPÓRIO DO BOLO,EMPÓRIO DO Ó,30,35,0.8603724,0,1
BABY CENTER,Body Center,25,35,0.8599254,0,1
PANTA'S,Pantanal,9,10,0.85983264,0,1
COMOL CONSULTORIA M.L.,Comot,42,35,0.8585241,0,1
NOSSA MARCENARIA !,ATM MARCENARIA,20,20,0.8584618,0,1
Usina de Negócios,Negócios SP,41,41,0.85798424,0,1
D' TUDO EMBALAGENS E DESCARTÁVEIS,TUDO DE PET,35,35,0.85795987,0,1
ZENITH GOURMET,zenity,43,35,0.8568863,0,1
PAPO CARREIRA,CARREIRA LIVE,41,41,0.8566474,0,1
COLÉGIO CONEXÃO,CONEXÃO WK,43,35,0.856335,0,1
ENGENHAR CONSULTORIA,ENGMAD ENGENHARIA,42,37,0.8561078,0,1
TERRA DO GELO AR CONDICIONADO,TERRAGOTA,35,35,0.85532135,0,1
E-CLEAN,CLEANSUI,11,11,0.8552126,0,1
TERRAS DO TEJO,TERRAZUL,35,35,0.85382754,0,1
UMTELECOM,WT TELECOM,42,38,0.853487,0,1
HAPFARMA,MOZA PHARMA,35,35,0.85309076,0,1
REI DA LINGERIE,ROVINNI LINGERIE,25,35,0.85254794,0,1
BURGER'S ARTESANAIS LAFOME,KL BURGER'S,43,43,0.8520728,0,1
INNEX,Innex,-1,42,0.8517566,0,1
SERTANEJA,SERTANEJO EYEWEAR,7,9,0.8515797,0,1
PADRÃO,PÁTIO BOQUEIRÃO,42,35,0.8514937,0,1
EMPÓRIO POUSO ALEGRE,EmpórioTek,35,35,0.8510093,0,1
C CASA DAS MÁQUINAS,Casa das MÁQUINAS & REFRIGERAÇÃO,37,37,0.8507898,0,1
LATIN MASTER,Master-G,35,9,0.84982437,0,1
SUPERMERCASA,Supermercado Brilho,35,35,0.84938914,0,1
É HIT,Hiit,38,41,0.8490109,0,1
EMPÓRIO DO BOI CASA DE CARNES,EmpórioTek,35,35,0.8480637,0,1
PÃO DE QUEIJO UNAÍ,PÃO DE QUEIJO VOVÓZANA,43,40,0.8478445,0,1
EMPÓRIO VÓ OLIVIA,Empório Vilarin,35,25,0.8471442,0,1
SER SAÚDE,Saúde[IA],35,35,0.847034,0,1
POUSADA LUAR DA SERRA,LUARA,43,29,0.8459308,0,1
Agência - Assistência de Elite,AGÊNCIA PITT,35,35,0.84586287,0,1
RNP BRASIL ATACADO CAMA MESA E BANHO,CF BRASIL,35,25,0.8456205,0,1
MERCADINHO PRIMATA ITAMAMBUCA - UBATUBA,PARÇA MERCADINHO,35,35,0.84524834,0,1
ALUMÍNIO ALIANÇA,ALOX ALUMINIUM,35,35,0.8451688,0,1
PADARIA DO CARLITO DESDE: 1930,PADOCARIA,35,43,0.84322125,0,1
TECH WIND SERVICES,TECH WIX,37,37,0.8424855,0,1
MÉTODO 3T,MÉTODO PPG,41,41,0.8409174,0,1
CEARÁ MOTOS,CAPIVARA MOTOS,35,35,0.8408901,0,1
INICIATIVA EDUCA!,EducaGov,35,35,0.8408707,0,1
LATIN MASTER,MASTER WIN,12,12,0.84062856,0,1
A MAR A VIDA,AMARA,25,35,0.8403014,0,1
TOMAZ DISTRIBUIDORA,TOMASI,35,11,0.840149,0,1
Terra dos Grandes Festivais,TERRA DO SOL,41,41,0.84013706,0,1
PERSONALE PLANTAS,Personia,42,42,0.8395514,0,1
COLISÃO DISTRIBUIDORA EMBALAGENS EM GERAL,FM DISTRIBUIDORA,35,35,0.83942205,0,1
Fertnutri por Paula Tâmara,PERNUTRI,35,44,0.83928716,0,1
INSTITUTO REVER SETE QUEDAS,INSTITUTO VIETRI,41,41,0.83873254,0,1
CENTRO EDUCACIONAL PEQUENINOS JÚNIOR,PRÓ FUTURO CENTRO EDUCACIONAL,41,41,0.8386763,0,1
M METALBRASIL,SAL BRASIL,35,18,0.83840346,0,1
DOM CHURRASCO,CHURRASCO DO ITALO,43,35,0.8381044,0,1
INICIATIVA EDUCA!,EDUCATION +,41,41,0.837346,0,1
Academia de Astrologia,ACADEMIA IATI,41,41,0.83653647,0,1
Academia de Astrologia,ACADEMIA IATI,41,41,0.83653647,0,1
PIZZA DOS HERÓIS,Pizzaqui,43,43,0.8359429,0,1
SOLUÇÕES ADMINISTRADORA DE CONDOMÍNIOS,VIÜ SOLUÇÕES,36,36,0.83573705,0,1
ENSINAÇÃO,ENSINA AGR,41,41,0.83487844,0,1
LATIN MASTER,MASTER WIN,35,12,0.8348065,0,1
DELÍCIAS DA MIRA DO DOCE AO SALGADO,DELÍCIAS DA TARDE,35,29,0.8345473,0,1
UMTELECOM,DTELECOM,35,42,0.83453256,0,1
MERCADINHO PRIMATA ITAMAMBUCA - UBATUBA,MERCADINHO ANIMAL,35,31,0.8331868,0,1
Paradinha,HARAS DA RAINHA,30,35,0.83310837,0,1
ALFA GNV INJECTION,AlfaZoo,35,35,0.8330885,0,1
META ENGENHARIA SERVIÇOS,Meta,35,35,0.83285713,0,1
GARAGEM 59,LÉO GARAGEM,35,35,0.8327914,0,1
HARDFERRAMENTAS,JOTAFER Ferramentas,35,21,0.83273447,0,1
EMPÓRIO VSN+ VENTURA SPORTS NUTRITION,EMPÓRIO 3S,35,35,0.8323676,0,1
Engenharia Academy,ACADEMISEC,41,41,0.83225405,0,1
EMPORIUM SOFÁ SOFÁ E DECORAÇÃO FÁBRICA SANTOS,Empório CTZ,35,35,0.832115,0,1
NOCA ACESSÓRIOS,N NOCA,35,30,0.8320317,0,1
LULUI BIKINIS,LUNG,25,35,0.8310909,0,1
NORMATEL DESIGN,NORMANI,35,20,0.8307378,0,1
DELÍCIAS DA MIRA DO DOCE AO SALGADO,DELÍCIAS DA AMAZÔNIA,35,43,0.83067334,0,1
V VIRTUDE MARIANA MODA MODESTA,MAR.IANA,35,35,0.8306214,0,1
SOLUÇÕES ADMINISTRADORA DE CONDOMÍNIOS,SOLUÇÕES S NALDI,35,40,0.82978994,0,1
VIRTUA COFFEE WORK,CONEXÃO VIRTUAL,35,35,0.8284509,0,1
PASTELÃO PAULISTA,Pastel da Mi,43,29,0.8279681,0,1
MERCADO DAS COISAS,MINAS MERCADO,35,43,0.82746977,0,1
CENTRAL ÁUDIO SOM E ACESSÓRIOS,CENTRA,37,42,0.826946,0,1
Virtua Coworking,.viralata,35,35,0.8269273,0,1
Multihype,Multifeme,8,41,0.826521,0,1
A S SANTOS SUPERMERCADO,SANTOSHA,35,43,0.8264299,0,1
MD SISTEMAS,Sistema Laser,42,42,0.82610464,0,1
ESPÍRITO SANTO CONSTRUÇÃO BRASIL,ESCOLA DO ESPÍRITO SANTO,41,41,0.82601243,0,1
HORTALÍCIA,Hortaliças BUGNO,43,39,0.8254879,0,1
MALU,MATIC,16,20,0.82502407,0,1
Polaris Energia Solar,POLARIX,42,21,0.82421786,0,1
SÓ PISO CACULÉ,Pisos+,35,27,0.8239582,0,1
NEO AGROAMBIENTAL,NEOID,42,35,0.8238557,0,1
MASTER SILVA SEGURANÇA ELETRÔNICA,MASTER SMART,37,37,0.82381666,0,1
INSTITUTO ROSANE CARDOSO,INSTITUTO CCV,41,41,0.82372665,0,1
UMTELECOM,OP TELECOM,42,35,0.8237152,0,1
CONSTRUTORA COLMEIA,COLMEIARIA,0,35,0.82304114,0,1
INSTITUTO ROSANE CARDOSO,INSTITUTO KRONA,41,41,0.82225114,0,1
MEDITERRÂNEO REDE DE POSTOS,MEDITERRANEUM,40,35,0.8213388,0,1
Virtua Coworking,VIREN,35,35,0.8208347,0,1
GRÁFICA PARCERIA,GRÁFICA BELLA,40,40,0.8207913,0,1
MISS NINA,NINA,35,21,0.82051957,0,1
RN RECIFE NOTÍCIAS,IN IRECÊ NOTÍCIAS,41,41,0.8201098,0,1
Agência - Assistência de Elite,Agência Oak,35,35,0.81989497,0,1
Plano do Gabarito,PLANO X,41,9,0.8193235,0,1
GFORCE,GFORCE,35,9,0.81929904,0,1
FF PONTES,HF,29,31,0.8188234,0,1
EMPÓRIO COCADAS OLIMPIO,EMPÓRIO DOM RUDÁ,35,35,0.8172631,0,1
Private Construction Incorporation,PRIVATE CONSTRUTORA,36,42,0.8172021,0,1
FIBRATTO MÓVEIS ARTESANAIS,FRATTO,35,29,0.8168944,0,1
MENTORIA EM GRANDES OPERAÇÕES,Mentoria Flash,41,41,0.8168477,0,1
Virtua Coworking,CONEXÃO VIRTUAL,35,35,0.81672853,0,1
Virtua Office Coworking Ideas,.VIRALATA,35,35,0.816373,0,1
GabrielBot,Gabriel Byte,42,35,0.81542975,0,1
