marca_monitorada,marca_colidente,classe_marca_monitorada,classe_marca_colidente,score,y,pred
EMPÓRIO ESTILO,CIA EMPÓRIO,35,35,0.81464666,0,1
BM AUTOPARTS,BM,35,42,0.81456953,0,1
MÉTODO 3T,Método PAP,41,41,0.8145303,0,1
Virtua Vet Coworking Veterinário,VIRX,35,42,0.81427974,0,1
ARCON CONSTRUTORA,ARC,37,36,0.814035,0,1
XES BRASIL,ZEZK,25,35,0.8136983,0,1
ISA,Isao,29,42,0.8132385,0,1
Nutris no Online,NUTRI+,35,30,0.81305546,0,1
HAPFARMA,FCE PHARMA,35,35,0.8129829,0,1
BOI E BRASA,Braza Box,43,39,0.81288534,0,1
SOLAR BANHO E PISCINA,SOLAR BEST,35,37,0.8124897,0,1
Nutris no Online,NUTRIE,35,35,0.8123828,0,1
STUDIO HYPE CONCEPT ARQUITETURA E ENGENHARIA,STUDIO PREGO,37,42,0.81226873,0,1
CASA CONCRETA,CONCRETECH,42,42,0.81196135,0,1
Bara,BÁRBARA,35,18,0.81166744,0,1
STOCK PISOS,STOCKFISH,42,35,0.8116163,0,1
G.O. CLINIC,Clini,44,42,0.8110244,0,1
ANAMAC,ANAMAI,35,14,0.80925494,0,1
AÇAÍ FOOD,AÇAÍ 24H,35,30,0.8092387,0,1
MÃOS QUE ENCANTAM,Encanto & Cor,35,35,0.8091478,0,1
GABRIELE,GABRIELA PAIVA,0,41,0.8089747,0,1
CENTRO EDUCACIONAL PEQUENINOS JÚNIOR,CENTRO EDUCACIONAL ELO,41,41,0.80889654,0,1
MOODZ COLLECTION,DOMI COLLECTION,25,35,0.8088414,0,1
IDEIA ULTRALED,ultra,20,35,0.808267,0,1
XPORTS EVENTOS,GL SPORTS,41,35,0.8079225,0,1
Virtua Office,VIRTUOSO,35,43,0.8068107,0,1
PRIME AUDIOVISUAL,PRIME PUB,41,43,0.8059676,0,1
ARCÁDIA,ArcadiA,44,41,0.8058923,0,1
HORTALÍCIA,PORTALE,43,43,0.805496,0,1
DELLA & DELLE,Padelle,35,14,0.8054178,0,1
ENGENHAR CONSULTORIA,EXER ENGENHARIA,42,42,0.80531085,0,1
ARQUISTUDIO arquitetura e urbanismo,Identidade Arquitetura e Urbanismo,42,42,0.8049953,0,1
VIRTUA COFFEE WORK,GUDY COFFEE,43,43,0.80490446,0,1
MULTIGRAN MÁRMORES & GRANITOS,MultigaES,35,37,0.80415857,0,1
QUEIROZ PARTICIPAÇÕES,Queiroz Express,35,21,0.80360305,0,1
NUTRI FIBER,nutrigo,31,30,0.80339986,0,1
.Simplifica Inglês,Casa Simplifica,35,35,0.8032377,0,1
VERBA,VERBA,9,39,0.8031282,0,1
NANA NENÉM,NENÉM NA NUVEM,35,20,0.8027863,0,1
CASA CONCRETA,CONCREJOTA,42,37,0.80244315,0,1
NEO SOLUÇÕES AMBIENTAIS & PROJETOS AGROPÉCUARIOS,NEOID,42,42,0.80215484,0,1
VAMO,VAMORA,36,10,0.8014545,0,1
ANDER SABORES,and wander,30,35,0.80145407,0,1
PIZZA FONE pizza,Pizza Flow,43,43,0.8014115,0,1
CV / INVEST DTVM,INVEST4U,36,35,0.80136204,0,1
ALPHA MOTORS,ALPHA DC,35,35,0.80099326,0,1
INICIATIVA EDUCA!,EDUCAVIVE,41,41,0.8009429,0,1
B BARÃO IBITURUNA,BARA,36,37,0.80072397,0,1
Insight Strategic Social Media,Insights Hub,35,35,0.7998321,0,1
AQ AYR QUALITY MOURA,AYRA,37,35,0.7996865,0,1
CASTELO ENTRETENIMENTO,L&P entretenimento,41,41,0.7995693,0,1
SOUL ZEN,Soul Serena,35,18,0.79935676,0,1
MONSTERBEE SUPLEMENTOS,MONSTERA,35,35,0.7986615,0,1
E.CONTROL,CLUB CONTROL,9,42,0.7985159,0,1
IMPACTO,IMPACCTO,40,35,0.79676175,0,1
CASA SOLAR,SolarChef,42,11,0.794959,0,1
The People Restôbar,THE BASIC PEOPLE,43,35,0.7941272,0,1
INSTITUTO DE MÚSICA CLARITASPULCHRI,INSTITUTO CCV,16,41,0.79343724,0,1
ESSENCIAL MOTOS ATACADO E VAREJO,Essencial baby,12,35,0.7933461,0,1
COMUNICADO,Comunicamake,16,41,0.79234457,0,1
modo conectado,CONECTA D2C,35,35,0.7915862,0,1
DIÁRIO NOTÍCIAS,NOTÍCIAS SJC,41,35,0.7914586,0,1
SYM,SIORA,36,9,0.7914318,0,1
EMPÓRIO DO CARANGUEJO,EMPÓRIO DO RIO,43,35,0.79105276,0,1
TROPICAL CHIC,Tropical-X,35,43,0.7910315,0,1
DESCOMPLICANDO O ALEMÃO,DESCOMPLICANDO RÓTULOS,41,41,0.79039323,0,1
Multihype,Multifeme,16,41,0.79022324,0,1
Prato Pet,PRATA & PRATOS,31,43,0.790163,0,1
BOM LEITE,LEITE,35,24,0.78916204,0,1
D PRIMES AÇAIZINHO,PRIME PUB,30,43,0.78866524,0,1
MUSICAL BMB,MUSICAL BEATS,41,44,0.7873553,0,1
ARENA BEACH,Areal Beach,38,41,0.78700334,0,1
UMTELECOM,A.R TELECOM,42,37,0.78654444,0,1
CAPIM,CAPIM,41,42,0.78607213,0,1
Marketing Erótico,Missão Marketing,41,35,0.7859966,0,1
G.O. CLINIC HOSPITAL DIA EM GINECOLOGIA,EP CLINIC,44,44,0.7853528,0,1
FRAGRANCE MAISON,MAISON ALISSÉ,35,25,0.78491724,0,1
FARMÁCIA ULTRA BARATO,FARMÁCIAS Rodolfo,35,35,0.78355587,0,1
DESCOMPLICANDO O ALEMÃO,DESCOMPLICANDO TPM,41,41,0.78352666,0,1
GABRIELE,Gabriel Pardo,0,41,0.7834798,0,1
VELOZ,VELORA,37,35,0.7827602,0,1
CONTABEM,CONTABILÊS,35,41,0.780967,0,1
ILANA BRAGA,KILANA,35,35,0.7804882,0,1
OI NEGÓCIOS IMOBILIÁRIOS,PBD NEGÓCIOS,36,36,0.7795099,0,1
SMART ELETRÔNICOS,B=SMART,35,7,0.77900445,0,1
PURE NUTRE,PURE,35,28,0.77767116,0,1
AÇAÍ FOOD AÇAÍZINHO,AÇAÍ POWER,30,43,0.77760756,0,1
IMPERIALLE,IMPERIALIS,9,20,0.77747726,0,1
GRUPO S,GRUPO V8,35,35,0.7756901,0,1
SUSTENTARTE,SUSTENTA AI,35,35,0.7750043,0,1
MINAS DE MINAS,MINASA,35,8,0.7740055,0,1
CONSTRUCICLO,CICLO VAC,35,37,0.7738341,0,1
PRIMÍCIAS CORTINAS,Primax,24,21,0.77377427,0,1
"""KARNE KEIJO""",KARUI,-1,30,0.77348346,0,1
PRATINHA,Pratinho no ponto,0,43,0.7734449,0,1
NEW TECH BLINDAGENS,NEW AGRO TECH,40,35,0.7733027,0,1
CONFIA + SOLUÇÕES FINANCEIRAS,Conecta Soluções Financeiras,36,36,0.7725329,0,1
BELLA MARIA,BELLA MANIA,40,30,0.7723846,0,1
CASA DO RESTAURANTE,CASADEMÃE,35,35,0.7722754,0,1
MALUKÃO DAS FABRICAS,MALUKIES,40,30,0.77152675,0,1
MOODZ COLLECTION,D DOCA'S COLLECTION,25,35,0.77030593,0,1
EMPÓRIO DO PÃO,EMPÓRIO DO MAR,35,35,0.76981616,0,1
IGREJA EVANGÉLICA ASSEMBLEIA DE DEUS MINISTÉRIO DO TEMPLO CENTRAL,AD ASSEMBLÉIA DE DEUS CASCAVEL,45,41,0.76905143,0,1
ACAÍ DO TIO REI,AÇAIZIM,30,30,0.7688349,0,1
ESCRITA E LEITURA PARA EVOLUÇÃO E VALORIZAÇÃO NA APRENDIZAGEM ELEVA,E - LEVE,35,35,0.76862407,0,1
Concept Hospital Dia,CONCEPT,36,35,0.7681537,0,1
NEW PLASTIC,PLASTLEV,21,35,0.76803416,0,1
GRUPO S,GRUPO DUMA,35,35,0.76746947,0,1
neo núcleo de emergências odontológicas,NEOON,44,44,0.7673416,0,1
GABRIEL SOUZA,GABRIELA,41,41,0.7671377,0,1
P COFFEE,JM COFFEE,43,43,0.76684934,0,1
DOM PASTEL,Pastel da Mi,0,35,0.7664263,0,1
VIVA PIZZA,vivan,30,35,0.7656203,0,1
COXIBURGUER,CUBE BURGUER,35,30,0.76502454,0,1
GOLDEN TEAR A DARK FANTASY TTRPG,GOLDEN TEAM,41,41,0.76421696,0,1
APLICA BUS,Aplicap,35,35,0.76421267,0,1
AMAZON PRODUTOS NATURAIS,AMAZONRIP,30,35,0.76365465,0,1
MD SISTEMAS,MD,42,19,0.76336706,0,1
CLÍNICA VETERÍNARIA E PET SHOP BELA VIDA,Vila Canina Pet Shop e Clínica Veterinária,44,35,0.7632715,0,1
MAIDA HEALTH,Health Makers,35,41,0.7626644,0,1
CASA DO RESTAURANTE,CASA DO PERFIL,35,40,0.7618314,0,1
AUTO ESCOLA ATUAL CENTRO DE FORMAÇÃO DE CONDUTORES,autoescola NAÇÕES,41,41,0.76158994,0,1
ALIGNMED,Aligned,35,35,0.76106364,0,1
HORTILOG,Pórtico,9,9,0.7604984,0,1
Distribuidora Classic,GENESYS DISTRIBUIDORA,35,35,0.760228,0,1
M MÓBILE SUPERMERCADO,Mobilee,35,1,0.7599339,0,1
PBENERGIASOLAR,ASGE ENERGIA SOLAR,37,37,0.7596463,0,1
Temperos Magia,TEMPERO REAL,30,31,0.7580718,0,1
ÚNICO CAMINHO,uni,35,43,0.7570901,0,1
PERSONALE PLANTAS,Personare,42,45,0.7569929,0,1
Toca fina cozinha,FITOCA,30,30,0.7568667,0,1
PARADISE CHANNELS,Channels,38,35,0.7565485,0,1
REI DAS CLÍNICAS,CLINICAWEB,41,42,0.75585604,0,1
Liberty Energia,LIBERT,42,40,0.7557798,0,1
VILLAR ELÉTROS,VILLA MAG,35,43,0.7556091,0,1
PARTIU CAFÉ,partiu,43,42,0.7554887,0,1
ELETRO SOLAR,ELETROBIGELI,35,35,0.75489724,0,1
¿Flash Life Business,Flipê,41,41,0.754604,0,1
IN CONNECTION,COMPANY CONNECTION,41,28,0.75384414,0,1
BRASIL SOLUÇÕES INTELIGENTES,RMP+ EHS SOLUÇÕES INTELIGENTES,36,42,0.7537579,0,1
SALÃO e CONGRESSO BRASILEIRO da CACHAÇA,CONGRESSO BRASILEIRO DE COSMETOLOGIA,41,41,0.75295043,0,1
ACADEMIA DO VAREJO,Konnen Academia,35,41,0.75293416,0,1
SER SAÚDE,Saudee,16,35,0.75275594,0,1
Z ZEST,ZEST SNACKS,35,30,0.7527512,0,1
The People Restôbar,THE BASIC PEOPLE,43,40,0.7524709,0,1
MALU GUARDANAPOS DE PAPEL,MAIG,16,35,0.7522641,0,1
CENTRO DE TREINAMENTO THE MOVEMENT,Fábrica Centro de Treinamento,41,41,0.7501755,0,1
açaí Vitaly Pura energia,VITAM,30,35,0.7498583,0,1
IGREJA BATISTA ESSÊNCIA DO ESPÍRITO,IGREJA BATISTA REINO,45,45,0.7496401,0,1
PASTEL DA TERRA,Pastel da Mi,43,30,0.7474812,0,1
VITAL CONFORT,VITALOK,24,21,0.74739164,0,1
Águas Curitiba,ÁGUA SURDA,39,43,0.74643546,0,1
MARCENARIA J. MEDEIROS,JPR MARCENARIA,20,20,0.7463146,0,1
MAIDA.HEALTH,MAYDAY,9,35,0.7462018,0,1
PRONET TELECOM,FRON,38,41,0.74513686,0,1
CVPAR DIGITAL,DIGITAL,35,37,0.74469495,0,1
hidra hair,HYDRA,12,35,0.7442423,0,1
FESAN INTELIGÊNCIA IMOBILIÁRIA,RIGHT SPOT INTELIGÊNCIA IMOBILIÁRIA - W N E S-,36,42,0.74394196,0,1
SERTANEJA,MESA SERTANEJA,35,38,0.74369204,0,1
MANÁ TEMAKERIA & SUSHI BAR DELIVERY E EVENTOS,Manai,30,43,0.74241835,0,1
ANEL FARMA MANIPULAÇÃO,FÀNEL,44,35,0.7423864,0,1
INTEGRAL CLUBE DE BENEFÍCIOS,INTEGRAMEI,35,35,0.7411846,0,1
FAMÍLIA DE CACHOS,FAMILIAR,3,3,0.7411464,0,1
ES CONSTRUÇÃO,HS CONSTRUÇÃO,41,35,0.74085236,0,1
MG MINAS GERAIS CERTIFICADORA DIGITAL,POSTO MINAS GERAIS,42,37,0.7392054,0,1
LÁ NO PASTEL,Pastel HUB,43,43,0.7386049,0,1
PASTEPIZZA LANCHES,Pazzi di Pizza,43,43,0.73779774,0,1
EMPÓRIO COCADAS OLIMPIO,EMPÓRIO PETALI,35,29,0.7376072,0,1
CASA DO BOLO VOVÓ TIANA,Casa do 3D,30,40,0.7371435,0,1
CASA D INTERIORES,Casa 5G,35,38,0.7370257,0,1
FA FASHION ATACADISTA O VAREJO NO PRECINHO DE ATACADO,FAHLENA ECO FASHION,25,35,0.73595285,0,1
COMPREX,Compre sua Peça,37,35,0.7354692,0,1
PRATINHA,PRATINI,0,35,0.73522145,0,1
BRASIL MÓBILE,ATT BRAZIL,35,35,0.7350407,0,1
ALUMÍNIO ALIANÇA,MP Alumínio,35,21,0.73503894,0,1
MÉTODOCOIMBRA,Método C.E.O,41,41,0.7345767,0,1
MED MALL,MV MED,35,35,0.73454046,0,1
ELETRO SOLAR,eletromuk,35,39,0.73408103,0,1
FARMÁCIA ANDRADE,Farmácia Boituva,35,35,0.7330891,0,1
MANÍ,MANICUT,35,44,0.73297316,0,1
INSTITUTO REVER SETE QUEDAS,INSTITUTO JUSTIÇA,41,41,0.73263615,0,1
AGUARDENTE DE CANA PRATINHA,Aguardente de Cana Melindrosa,35,33,0.7320153,0,1
ALLON,ALLOY,41,35,0.7312795,0,1
B BRASMETAL,BRASMEDI,-1,35,0.73124343,0,1
VIRTUA COFFEE WORK,só toffee,43,43,0.7307915,0,1
KONIK,KONICA,-1,2,0.7306101,0,1
NOSSA MARCENARIA !,MARCENARIA 4.0,20,20,0.72998,0,1
HIGH TICKET ADVANCED,CRM HIGH TICKET,41,42,0.72942746,0,1
Espirito Capixaba,CAPIXABA,35,31,0.7288482,0,1
START COMUNICAÇÃO INTEGRADA,Star,35,45,0.72851497,0,1
EMPÓRIO VSN+ VENTURA SPORTS NUTRITION,EMPÓRIO PRIME,35,43,0.7283261,0,1
Comercial Têxtil,FOCO Comercial,35,35,0.728237,0,1
VOZ DAS MINAS,MINASVOL,41,35,0.7253955,0,1
AUTO PEÇAS MATOS,Autopen,35,8,0.7251938,0,1
DELÍCIAS DA MIRA DO DOCE AO SALGADO,delíciaaa,43,41,0.72482085,0,1
AUTO PEÇAS MATOS,Netmix Auto Peças,35,12,0.7242832,0,1
CENTRO AUDITIVO LIBERTY,LYD CENTROAUDITIVO,35,35,0.7209943,0,1
SER SAÚDE,SAÚDE+PE,38,45,0.7198791,0,1
Agência VET,AGÊNCIA K1,42,35,0.71969754,0,1
G.O. CLINIC HOSPITAL DIA EM GINECOLOGIA,SM CLINIC,44,44,0.7194022,0,1
TERRAMAXX SOLUÇÕES EM IMPLEMENTOS FLORESTAIS,Terramor,35,30,0.7190054,0,1
Hconnect,PAW CONNECT,42,21,0.7184618,0,1
TOTUS DESIGN,Lótus Design,35,42,0.71791536,0,1
AGÊNCIA ART,agência (re)trato,35,39,0.71555996,0,1
SE LIGA VM,Se liga só,41,41,0.7153147,0,1
FLOR DE CACTUS LIMPEZA E IMPERMEABILIZAÇÃO,Flor de Caiena,37,35,0.7148439,0,1
PÃO DE QUEIJO UNAÍ,PÃO DE QUEIJO VÓDELAIDE,43,35,0.7147877,0,1
VirtuaMed O hub da saúde coworking médico,virtubem,44,35,0.71343654,0,1
EMPÓRIO VÓ OLIVIA,EMPÓRIO DO HOMEM,35,35,0.7132844,0,1
PET POW,PET POVÃO,21,35,0.71253,0,1
MASTER ALUMÍNIO,Master DM,35,43,0.7118528,0,1
GRAMAC,Gramado,35,3,0.711845,0,1
inova FOODS,INOVAPME,35,41,0.7107984,0,1
FARMÁCIAS PRIME,PISA FARMACIAS,35,35,0.71068615,0,1
RESTAURANTE MENINA GERAIS,LA'DUNA RESTAURANTE,43,43,0.7101416,0,1
A ASA DIGITAL INTERNET,DIGITAL.COM,38,35,0.70852846,0,1
GRUPO MS MAIS QUE SAÚDE,GRUPO MX8,35,35,0.70819664,0,1
TINTAS VERGINIA,JCS TINTAS,35,2,0.70493424,0,1
CALY,calico,35,35,0.7040845,0,1
SPRING,SPRINT,15,12,0.7028763,0,1
Acurá,ACCURA,29,9,0.7022893,0,1
BOTANIK INCORPORADORA,BOTANIFIQUE,36,35,0.70224005,0,1
ACADEMY DENTISTA DE SUCESSO,AIL - Academy,41,41,0.70090634,0,1
I IMPACTO,IMPACTUS,35,17,0.7008309,0,1
CANAL 10,CanalJMS,41,41,0.7005066,0,1
High Protector,PROTECTOR,3,4,0.6997696,0,1
SMART ELETRÔNICOS,SMART PEEL,35,10,0.6990307,0,1
INTEGRAL TRADING,INTEGRALMEDICA,35,31,0.6980084,0,1
AGUARDENTE DE CANA PRATINHA,PRATINI,35,35,0.6979751,0,1
PÃO DE QUEIJO TINÔ,Oh Pão de Queijo,30,43,0.6971952,0,1
CASTELLA,CASAELLA,21,35,0.6968368,0,1
WM INVESTIMENTOS,X10 INVESTIMENTOS,36,36,0.6966929,0,1
GABRIEL SOUZA,GABRIEL ZUUK,41,41,0.69666934,0,1
Pai Fora de Série,Fora de Série,41,9,0.6961113,0,1
GABRIELE,GABRIEL FROEDE,0,35,0.6960455,0,1
COXIBURGUER,prazí burguer,30,43,0.69565904,0,1
Fene Distribuidora,FM DISTRIBUIDORA,35,35,0.69563043,0,1
APLICA BUS,Aplicap,35,35,0.6955253,0,1
HOME TOP MÓVEIS E COLCHÕES,TECHHOME,35,35,0.6954161,0,1
BOUTIQUE SAÚDE,Boutique do sono,35,35,0.69518715,0,1
CENTRAL PINK,CENTRAL PISCINAS,35,40,0.6951225,0,1
AUTO POSTO DOIS IRMÃOS,AUTO POSTO DIAS,35,35,0.6936903,0,1
SMART ELETRÔNICOS,Smartflex,35,38,0.69345134,0,1
TURMINHA DIÁRIO,TURMINHA DE VALOR,38,41,0.69318664,0,1
VENÂNCIO,VENENUM,37,32,0.6916663,0,1
ROUP' ARTE NOVAS E USADAS,ROUZ,35,35,0.69062585,0,1
PERFAL,PERFECT CDOP - LOJA,35,35,0.6901066,0,1
CASA CONCRETA,CONCRETA,35,37,0.6895887,0,1
I/O TECNOLOGIA INDUSTRIAL,IB TECNOLOGIA,35,37,0.689034,0,1
CLÍNICA MÉDICA GODINHO,CliniCalm,44,44,0.6880238,0,1
COMUNICADO,COMUNICA BET,16,41,0.6872042,0,1
D PRIMES AÇAIZINHO,Primea,30,35,0.6870103,0,1
FESTIVAL DO VINHO FESTA DO VINHO,FESTIVAL SSA,41,41,0.6868135,0,1
Y.Consultoria,DX3 Consultoria,35,35,0.6866278,0,1
SER SAÚDE,Sr. Saúde,41,44,0.68544763,0,1
ÁGUIA BRASIL DISTRIBUIDORA,ACQUAVIABRASIL,35,45,0.6853174,0,1
CARNES BOM REBANHO,Casa de Carnes Bom Corte,35,35,0.6852815,0,1
VILLAR ELÉTROS,Villa Cacau,35,35,0.6851533,0,1
RHEUMA-IN,RHEUM.AI,44,41,0.68416214,0,1
FLOR DE ELIS MODA INFANTIL,FLOR DE LIZ,35,13,0.6832494,0,1
ESPAÇO ENGENHO COLONIAL,ENGENHO DO COLONO,41,35,0.68299365,0,1
Portal do Desenvolvimento Infantil,Sementare DESENVOLVIMENTO INFANTIL,41,41,0.6823852,0,1
"DIZ, MULHER!",MULHERIA,9,41,0.6821623,0,1
INSTITUTO ROSANE CARDOSO,INSTITUTO MANDI,41,41,0.681815,0,1
AGÊNCIA ART,AGÊNCIA CONTI,35,35,0.6811364,0,1
LATICÍNIOS ED LEITE,BRANDO LATICÍNIOS,29,35,0.68035203,0,1
RESTAURANTE MENINA GERAIS,KENOMA RESTAURANTE,43,43,0.6801033,0,1
RESTAURANTE MENINA GERAIS,MAROLLO RESTAURANTE,43,35,0.6789435,0,1
TOMAZ DISTRIBUIDORA,TCOMAS,35,11,0.67893636,0,1
@blindador,BLINDADO,45,41,0.6781777,0,1
FORT EVENTOS,HortApp,41,35,0.6768116,0,1
DROGARIA SANDES,DROGARIA ZONA SUL,35,35,0.6766478,0,1
VIDRAÇARIA MUNDO DOS VIDROS,EB VIDRAÇARIA,19,40,0.6765177,0,1
SEU DIREITO,Direito Certo,38,45,0.6764112,0,1
COMPREX,COMP,37,42,0.6763788,0,1
ELETRO SOLAR,ELETRONAGRO,35,37,0.6762162,0,1
AR MARCENARIA AMBIENTES PLANEJADOS,AFS Marcenaria,20,20,0.67594236,0,1
HAUS ALAMOÉ,HAUS,35,18,0.67574066,0,1
BRASILGÁS,BRASILIA,0,12,0.67523444,0,1
Q.SABOR PIZZARIA DELIVERY,Saboreô,39,35,0.6750559,0,1
CONGELADOS SANTA RITA SAPUCAÍ,Congela Congelados,35,35,0.67461985,0,1
PLANETA BEBÊ,planeta a,42,42,0.6742438,0,1
CHURRASCARIA ORIENTAL,CHURRASCARIA MENINO DE OURO,43,35,0.6742324,0,1
CENTRAL MECÂNICA,CentralMax,37,9,0.67402196,0,1
BRASIL SEGURANÇA ELETRÔNICA,BRASYS,45,42,0.67354864,0,1
A Nova Saúde por Dr William Araujo,SaúdeNow,41,41,0.67258817,0,1
MADEIREIRA RIO BRANCO,RIO BRANCO IMPORT STORE,35,35,0.67194265,0,1
A ASA DIGITAL INTERNET,DigitalView,38,35,0.6710878,0,1
OPERA HOUSE,HOUSE OF AME.N,25,35,0.6708581,0,1
FRAGRANCE MAISON,MAISON SENNA,35,35,0.6706225,0,1
DEEP COLLECTION,Dê Isa Collection,25,35,0.6691991,0,1
Fardin,PARDINO,35,29,0.66872984,0,1
PBENERGIASOLAR,EJS ENERGIA SOLAR,37,42,0.6673128,0,1
SPA COLCHÕES,SPAR,35,35,0.6661557,0,1
GRUPO MS,GRUPO HOMERO,44,35,0.66422325,0,1
FRAGRANCE MAISON,MAISON ASTRAL,35,25,0.6637998,0,1
FONTE DE ALEGRIA,ALEGRIA & FESTA,32,35,0.6635884,0,1
INDAIÁ,INDAIAPEÇAS,0,12,0.6634261,0,1
MOVÊH,Mover,42,35,0.66288936,0,1
SVM INSIGHTS,BetInsights,41,42,0.6619384,0,1
TERRAL MARESIAS,TERRAGOTA,-1,35,0.6606313,0,1
A AMARE HOME,AMARAM,35,25,0.6605919,0,1
REI DA LINGERIE,Saranda Lingerie,40,25,0.6598052,0,1
BAR E RESTAURANTE ZÉ CARLOS,Bar e Restaurante Helô,43,43,0.6596086,0,1
VELOZ,Velofox,37,12,0.65956837,0,1
EMPÓRIO VÓ OLIVIA,EMPÓRIO PRIME,35,43,0.65928316,0,1
Dietitan,Dietitan,44,9,0.6591073,0,1
CASA DOS TEMPEROS & CIA,ETEMPEROS,35,30,0.65792775,0,1
SORVETES ICE TRUCK,Sorvetes do Nick,30,35,0.6579098,0,1
MANÁ TEMAKERIA & SUSHI BAR DELIVERY E EVENTOS,MANAVI,30,35,0.6576128,0,1
VENTURIM,Venturinni,35,7,0.6573773,0,1
SHOPPING PIZZA BURGER,KUTZ BURGER & PIZZA,43,43,0.6569736,0,1
CARVOEIRO BRASA E BAR,BRASEIRO,43,35,0.6566542,0,1
CHURRASQUEIRAS LOBO,CHURRASQUIM,11,41,0.6563754,0,1
ES ELETRO SENA,ELETRO VJ,37,37,0.6560842,0,1
ANTERACAPS,ANTERA,35,35,0.6559461,0,1
SORVETES ICE TRUCK,SKIPEROLA SORVETES,30,35,0.65402985,0,1
NATURAL VILLE,naturalvitae,37,35,0.6539605,0,1
Jucelino Móveis Planejados,IMPACTO MOVEIS PLANEJADOS,35,35,0.6538488,0,1
Lumiê Lingerie & Co.,LUMY,35,40,0.65188974,0,1
CANAL 10,Canal SAF,41,41,0.6512507,0,1
AR TERRAPLANAGEM ADRIANO ROCHA,DAF TERRAPLANAGEM,37,37,0.65087175,0,1
Reviva by Fibra Náutica,REVIVARIO,37,37,0.6491354,0,1
EMPÓRIO DA TAPIOCA,Empório CTZ,35,35,0.6488223,0,1
SUPER LAGOA,SUPERLAMP,35,35,0.6487094,0,1
EDUCALAB,EducaLab,16,35,0.64851004,0,1
TOP BRASIL FERTILIZANTES,SLS Shop Brasil,35,9,0.64822936,0,1
TURMINHA DIÁRIO,Turminha da Liga,41,41,0.6470078,0,1
NINARE,NINA O,40,3,0.6468472,0,1
KONIK,KONICA,-1,1,0.6454136,0,1
CT CERÂMICA TIJUCA,CERAMIC LINE,35,21,0.6452306,0,1
Método Ressonante,Método ETC,41,41,0.64512616,0,1
PADRÃO,PADRÃO A.,42,41,0.64495426,0,1
SANTA PRAIA,PRAYA,43,32,0.64394003,0,1
IGREJA EVANGÉLICA ASSEMBLEIA DE DEUS MINISTÉRIO DO TEMPLO CENTRAL,Assembleia de Deus Novo Começo,45,45,0.6429783,0,1
COLISÃO DISTRIBUIDORA EMBALAGENS EM GERAL,Alpi Distribuidora,35,35,0.6423669,0,1
